[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/HtmlDomHelper.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/HtmlDomHelper.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleXmlDomNode.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleXmlDomNode.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNodeBlank.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNodeBlank.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlAttributesInterface.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlAttributesInterface.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlAttributes.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlAttributes.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomNodeBlank.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomNodeBlank.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/DomParserInterface.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/DomParserInterface.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNode.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNode.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDom.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDom.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomBlank.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomBlank.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNodeInterface.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomNodeInterface.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomInterface.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomInterface.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomNode.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleXmlDomNode.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleHtmlDomNode.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleHtmlDomNode.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomBlank.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomBlank.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomInterface.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SimpleHtmlDomInterface.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleXmlDom.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleXmlDom.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleHtmlDom.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/AbstractSimpleHtmlDom.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/XmlDomParser.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/XmlDomParser.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SelectorConverter.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/SelectorConverter.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/HtmlDomParser.php to queue as: http://demo.local/wp-content/plugins/simply-static/vendor/voku/simple_html_dom/src/voku/helper/HtmlDomParser.php
